text,label
tu es gentil,1
je t'aime,1
j'adore ce jeu,1
bonjour mon ami,1
tres interessant,1
super bien explique,1
je t'apprecie,1
aime,1
game,1
jeu,1
jolie,1
jaime cette jeu,1
bien,1
tres bon,1
genial ce post,1
merci beaucoup pour ton aide,1
ce projet est tres utile,1
ta solution est intelligente,1
je suis d'accord avec toi,1
c'est vraiment genial,1
tu expliques tres bien,1
j'aime beaucoup ce que tu fais,1
tes idees sont superbes,1
c'est tres clair,1
je te respecte beaucoup,1
ta reponse est tres pertinente,1
c'est constructif,1
espce de con,0
c'est de la merde,0
va te faire foutre,0
tu es debile,0
je te deteste,0
c'est nul,0
abruti,0
ooo,0
ferme ta gueule,0
t'es qu'un bouffon,0
trop con pour comprendre,0
tu sers a rien,0
gros naze,0
va mourir,0
idiot complet,0
t'es un incapable,0
pire explication jamais,0
degage de la,0
ta gueule le noob,0
tu racontes n'importe quoi,0
casse-toi,0
mauvaise,0
c'est une mauvaise idee,0
mauvaises explications,0
mauvaisee approche,0
